number,set,set_name,keyword,explanation,quiz_prompt,accepted_answers
28,2,Data & Coding Basics,Processing,"What happens between receiving information and producing a result. A computer may calculate, compare, transform, analyze, or route information during this stage.",Which term refers to the work a computer performs between receiving information and producing a result?,Process
29,2,Data & Coding Basics,Algorithm,"A sequence of steps for solving a problem or completing a task. A quiz that presents a question, checks an answer, and gives feedback follows a simple example.",Which term means a step-by-step procedure for solving a problem or completing a task?,
30,2,Data & Coding Basics,Automation,Using technology to perform tasks with little or no repeated human action. Automatically calculating scores or generating routine feedback are common examples.,Which term means using technology to perform tasks automatically with minimal repeated human action?,
31,2,Data & Coding Basics,Code,"A set of instructions written in a form that computers can interpret or execute. Developers use it to create programs, process information, automate tasks, and build applications.",Which term refers to written instructions that computers can interpret or execute?,
32,2,Data & Coding Basics,Program,"A set of coded instructions designed to perform one or more tasks. The words software and application may overlap with this idea, but this term emphasizes the executable instructions themselves.",Which term refers to a set of coded instructions designed to perform one or more tasks?,
33,2,Data & Coding Basics,Python,"A programming language known for readable syntax and a large ecosystem of libraries. It is widely used in education, automation, data analysis, artificial intelligence, and web development.","Which programming language is widely used for beginners, automation, data analysis, AI, and web development?",
34,2,Data & Coding Basics,Syntax,"The structural rules for writing valid code. It can be compared loosely to grammar in human language, and breaking these rules may cause an error before a program can run.",Which term refers to the structural rules that determine whether code is written in a valid form?,
35,2,Data & Coding Basics,Variable,"A name used to store a value in a program. For example, a name such as score might hold a learner's current quiz result and can often change while the program runs.",Which term refers to a named place that stores a value in a program?,
36,2,Data & Coding Basics,String,"A sequence of characters treated as text by a program. A word, a sentence, or even digits placed inside quotation marks can be represented this way.",Which data type represents text as a sequence of characters?,
37,2,Data & Coding Basics,Integer,"A whole number without a decimal part, such as 3, 0, or -10. In programming, it is often shortened to int.",Which data type represents whole numbers without decimal parts?,Int
38,2,Data & Coding Basics,Boolean,"A data type with only two possible values, usually True or False. It is useful for representing yes-or-no conditions and controlling decisions in programs.",Which data type usually has only the values True and False?,Bool
39,2,Data & Coding Basics,List,An ordered collection that stores multiple values. A flashcard app could use one to keep the set of words that a learner will study.,Which Python data structure stores multiple values in an ordered collection?,
40,2,Data & Coding Basics,Dictionary,A data structure that stores information as key-value pairs. A word could be used as a key and its definition as the corresponding value; similar structures may be called maps in other languages.,Which Python data structure stores information as key-value pairs?,Dict; Map
41,3,App Development & Git,Function,"A reusable block of code designed to perform a particular task. It can receive information, process it, and return a result, helping developers avoid repeated code.",Which term refers to a reusable block of code designed to perform a specific task?,
42,3,App Development & Git,Conditional,"A structure that lets a program behave differently depending on whether a condition is true or false. In Python, it is commonly implemented with if, elif, and else.","Which term refers to a decision-making structure that uses conditions such as if, elif, and else?",
43,3,App Development & Git,Loop,A structure that repeats an operation. A program might use one to present several quiz questions or process every item in a collection.,Which term refers to a programming structure that repeats an operation?,
44,3,App Development & Git,Bug,"A problem in software that causes incorrect or unexpected behavior. Some problems stop a program completely, while others allow it to run but produce the wrong result.",Which term refers to a problem in software that causes unexpected or incorrect behavior?,Error
45,3,App Development & Git,Debugging,"The process of locating, understanding, and fixing problems in code. It often involves reading error messages, testing small parts of a program, and checking assumptions.",Which term refers to the process of finding and fixing problems in code?,
46,3,App Development & Git,Library,A collection of reusable code created to support particular tasks. Developers can use such resources instead of building every feature from the beginning; the word package is sometimes used similarly.,Which term refers to a collection of reusable code that developers can use in their own programs?,Package
47,3,App Development & Git,API,"A defined way for one software system to communicate with another. API stands for Application Programming Interface, and apps may use one to request translation, speech processing, or AI-generated content.",Which abbreviation refers to a defined way for one software system to communicate with another?,Application Programming Interface
48,3,App Development & Git,Interface,"The part of a system through which users or other systems interact with it. In app design, the user-facing version is often called the UI and includes buttons, menus, fields, and screens.",Which term refers to the point or layer through which a user or another system interacts with software?,UI; User Interface
49,3,App Development & Git,Usability,"How easily and effectively people can use a digital product to achieve their goals. It is closely related to UX, or user experience, but focuses more specifically on ease and effectiveness of use.",Which term refers specifically to how easy and effective a digital product is to use?,
50,3,App Development & Git,Prototype,An early version of a product created to explore and test an idea before full development. It may include only basic screens or functions and is useful for collecting feedback early.,Which term refers to an early version of a product used to test ideas before full development?,
51,3,App Development & Git,Git,A distributed version-control system used to track changes in files over time. It works locally on a computer and is different from online services that host projects built with it.,Which term names the version-control system used to track file changes and project history locally?,
52,3,App Development & Git,GitHub,"An online platform for hosting and collaborating on projects that use Git. It supports shared repositories, issue tracking, code review, and other collaboration features.",Which online platform is widely used to host and collaborate on projects managed with Git?,
53,3,App Development & Git,Repository,A project location whose files and change history are managed together. It is often shortened to repo and may exist locally or on an online platform.,Which term refers to a project location that contains files together with their version history?,Repo
54,3,App Development & Git,Commit,A recorded snapshot of changes in a version-controlled project. It usually includes a short message describing what changed and becomes part of the project history.,Which term refers to a recorded snapshot of changes in a Git project?,
55,3,App Development & Git,Branch,A separate line of development within a version-controlled project. It allows developers to work on a feature or experiment without immediately changing the main version.,Which term refers to a separate line of development within a Git project?,
56,3,App Development & Git,Merge,The operation that combines changes from different development lines into one. It is commonly used after work on a feature has been completed and reviewed.,Which Git operation combines changes from separate development lines?,
57,3,App Development & Git,Clone,"The action that creates a full local copy of an existing version-controlled project, including its files and history. It is commonly used to begin working with a remote project on your own computer.",Which Git action creates a full local copy of an existing repository?,
58,3,App Development & Git,Push,The action that sends local commits to a remote repository. It is commonly used after changes have been recorded on your own computer and need to be shared online.,Which Git action sends local commits to a remote repository?,
59,3,App Development & Git,Pull,The action that brings changes from a remote repository into the local copy. It helps keep a local project synchronized with work stored online or created by collaborators.,Which Git action brings remote changes into your local repository?,
60,3,App Development & Git,Remote,"An external version of a repository, usually stored on an online service. A local project can connect to one or more of these locations for sharing changes.",Which Git term refers to an external repository location connected to your local repository?,
61,4,Platforms & AI Basics,README,"A file that introduces and explains a project, often including its purpose, setup instructions, and usage information. On many development platforms, README.md is displayed prominently on the project page.",Which common project file usually explains what a project does and how to use it?,README.md
62,4,Platforms & AI Basics,Markdown,"A lightweight plain-text formatting system that uses simple symbols for headings, lists, links, emphasis, and other structure. Files using it commonly end in .md.",Which lightweight text-formatting system is commonly used in README.md files?,
63,4,Platforms & AI Basics,License,"A statement of how other people may use, modify, or share software, data, or other digital resources. Public access does not automatically mean unrestricted reuse, so this information matters when sharing projects.","Which term refers to the rules that state how others may use, modify, or share a digital project?",
64,4,Platforms & AI Basics,Versioning,The practice of maintaining and identifying different states of a digital project over time. It makes development safer because earlier states can be reviewed or recovered.,Which term refers to the practice of managing different versions of a project over time?,Version Control
65,4,Platforms & AI Basics,Collaborator,"A person who has permission to contribute to a shared project. Depending on access level, this person may edit files, review changes, or manage settings.",Which term refers to a person who is given permission to contribute to a shared project?,
66,4,Platforms & AI Basics,Colab,"Short for Google Colaboratory, a hosted Jupyter Notebook environment that lets users write and run Python code in a web browser with little setup.",Which Google service provides a browser-based hosted notebook environment for running Python code?,Google Colab; Google Colaboratory
67,4,Platforms & AI Basics,Notebook,"An interactive document that can contain executable code, text explanations, and program output in the same file. Jupyter and Colab commonly use this format.","Which term refers to an interactive document that combines executable code, text, and output?",Jupyter Notebook
68,4,Platforms & AI Basics,Cell,"One editable section inside a computational notebook. It may contain executable code or formatted text, and individual sections can often be run separately.",Which term refers to one individual editable section inside a computational notebook?,
69,4,Platforms & AI Basics,Runtime,"The computing environment that actually executes code. In a hosted notebook, it provides processing power, memory, and the active language environment needed to run cells.",Which term refers to the active computing environment in which code is executed?,
70,4,Platforms & AI Basics,Environment,"The collection of software, settings, libraries, and resources in which a program runs. The same code can behave differently if these components differ across computers.","Which term refers to the collection of software, settings, and libraries in which a program runs?",
71,4,Platforms & AI Basics,Dependency,"Software that another program needs in order to work. A Python app may rely on external packages for web interfaces, data processing, or speech recognition.",Which term refers to software that another program needs in order to run correctly?,
72,4,Platforms & AI Basics,Requirements,"In Python projects, this commonly refers to the list of packages a project needs. A file named requirements.txt is often used so deployment services can install the same dependencies automatically.","Which term commonly refers to the list of Python packages needed by a project, often stored in requirements.txt?",requirements.txt
73,4,Platforms & AI Basics,Install,"The action that makes software or a package available in a computing environment. In Python, external packages are often added before they can be imported and used.",Which term refers to making software or a package available in the current computing environment?,Installation
74,4,Platforms & AI Basics,Pip,A commonly used package installer for Python. It can download and add libraries from online package repositories using commands such as pip install.,Which Python tool is commonly used to install external packages from online repositories?,
75,4,Platforms & AI Basics,Streamlit,"A Python framework for building interactive web applications with relatively little web-development code. It is often used to turn data, AI, or educational Python projects into browser-based apps.",Which Python framework is often used to create interactive web apps directly from Python code?,
76,4,Platforms & AI Basics,Gradio,"A Python library for quickly creating interactive interfaces around functions, models, and data-processing tools. It is widely used for AI demos and works directly with Hugging Face Spaces.",Which Python library is widely used to build quick interactive interfaces for AI models and functions?,
77,4,Platforms & AI Basics,OpenAI,"An AI research and technology company that provides models and developer services. Its APIs can be used in applications for tasks such as language generation, analysis, speech, and multimodal interaction.","Which AI company provides developer APIs for models that can generate and analyze language, images, audio, and other data?",
78,4,Platforms & AI Basics,Model,"In AI, a computational system trained or designed to perform tasks such as classification, prediction, or generation. Different systems may specialize in text, image, audio, or multimodal tasks.",Which term refers to a trained computational system that performs tasks such as prediction or generation?,
79,4,Platforms & AI Basics,Prompt,"The input or instruction given to a generative AI system. It may contain a question, task, context, examples, or constraints that guide the generated response.",Which term refers to the instruction or input given to a generative AI system?,
80,4,Platforms & AI Basics,Token,"A unit of text processed by many language models. It may represent a whole word, part of a word, punctuation, or another text unit, so token counts do not exactly match word counts.","Which term refers to a unit of text processed by a language model that may be a word, subword, or punctuation mark?",
81,5,"AI, Deployment & APIs",Inference,"The process of using a trained AI system to produce an output from new input. When a language model answers a prompt, it is performing this process rather than learning from scratch.",Which term refers to using a trained AI model to generate a result from new input?,
82,5,"AI, Deployment & APIs",Training,The process in which a machine-learning system learns patterns from data by adjusting internal parameters. It is different from simply using an already trained system to produce outputs.,Which term refers to the process by which a machine-learning model learns patterns from data?,
83,5,"AI, Deployment & APIs",Dataset,"An organized collection of examples used for analysis, model development, testing, or evaluation. It may contain text, speech, images, learner responses, or numerical records.","Which term refers to an organized collection of data used for analysis, training, testing, or evaluation?",
84,5,"AI, Deployment & APIs",Hugging Face,"An AI platform and community centered on models, datasets, and applications. Its Hub helps users discover and share resources, while Spaces provides hosting for interactive applications.",Which AI platform is known for a Hub that hosts models and datasets and for Spaces that hosts interactive apps?,HuggingFace
85,5,"AI, Deployment & APIs",Hub,"A central online place where digital resources can be discovered, shared, and managed. In the Hugging Face ecosystem, it includes repositories for models, datasets, and applications.",Which term refers to a central online place for sharing and discovering digital resources such as models and datasets?,
86,5,"AI, Deployment & APIs",Spaces,A Hugging Face service for hosting interactive applications and demonstrations. It can run apps built with technologies such as Gradio and other supported frameworks.,Which Hugging Face service is used to host interactive applications and demos?,Hugging Face Spaces
87,5,"AI, Deployment & APIs",Deploy,A verb meaning to make an application available in an environment where real users can access and run it. Code that works locally usually needs this step before others can use it online.,Which verb means to make an application available for real users to access and run?,
88,5,"AI, Deployment & APIs",Deployment,"The overall process of preparing and publishing software so that users can run it. It may involve uploading code, installing dependencies, configuring settings, and starting the app on a hosting service.",Which noun refers to the overall process of preparing and publishing software for users?,
89,5,"AI, Deployment & APIs",Hosting,Providing the computing resources needed to keep a website or application accessible online. A hosting service runs the project on servers so users can reach it through the internet.,Which term refers to providing the computing resources that keep a website or app available online?,
90,5,"AI, Deployment & APIs",Build,The process of preparing source files and dependencies so that software can run in its target environment. Some platforms automatically trigger this process whenever project files change.,Which term refers to preparing source files and dependencies so an application can run in its target environment?,
91,5,"AI, Deployment & APIs",Endpoint,A specific network location through which software can send or receive data from a service. APIs often provide different locations for different operations.,Which term refers to a specific API location where software sends or receives data?,API Endpoint
92,5,"AI, Deployment & APIs",Request,A message sent by one software system to another asking for information or an action. An app may send user input in such a message to an external service.,Which term refers to a message sent to another software system asking for data or an action?,
93,5,"AI, Deployment & APIs",Response,"The information returned after another system processes a message. It may contain text, structured data, an error message, or another result that the application then uses.",Which term refers to the data returned by a service after it processes a request?,
94,5,"AI, Deployment & APIs",JSON,"A text-based format widely used to exchange structured data between software systems. JSON stands for JavaScript Object Notation, but it is used by many programming languages, including Python.",Which abbreviation names a text-based format widely used to exchange structured data through APIs?,JavaScript Object Notation
95,5,"AI, Deployment & APIs",Key,"An identifier used to access a value or service. In a dictionary it identifies a corresponding value, while an API key acts as a credential for accessing an external service.",Which term can refer both to an identifier in a key-value structure and to a credential used to access an API?,API Key
96,5,"AI, Deployment & APIs",Secret,"Sensitive information that should not be exposed publicly in source code. API credentials, passwords, and access tokens are common examples, and deployment platforms often provide secure storage for them.",Which term refers to sensitive information such as an API credential that should not be exposed in public code?,
97,5,"AI, Deployment & APIs",Authentication,"The process of verifying the identity of a user, application, or service. Passwords, API keys, and security tokens can be used for this purpose.","Which term refers to verifying who a user, application, or service is?",Auth
98,5,"AI, Deployment & APIs",Authorization,The process that determines what an already verified user or application is allowed to do. Someone may prove their identity successfully but still lack permission to edit or access a particular resource.,Which term determines what an authenticated user or application is allowed to do?,
99,5,"AI, Deployment & APIs",Workflow,"An organized sequence of steps used to complete a task. In software development, a simple example might move from coding to testing, committing, pushing, and deployment.",Which term refers to an organized sequence of steps used to complete a development task?,
100,5,"AI, Deployment & APIs",Pipeline,"A sequence of connected processing stages in which the output of one stage becomes the input of the next. For example, speech input might move through recognition, analysis, feedback generation, and display.",Which term refers to connected processing stages where the output of one stage becomes the input of the next?,
